outcome,model,term,estimate,se_hc1,p_hc1,se_wild,p_wild,n,r2,r2_adj
DV crimes (mean/yr),M1,(Intercept),187.09208203214297,79.97464625475985,0.02217388359391235,78.85661551239718,0.02041709845355135,72,0.26690318394081675,0.2564303722828284
DV crimes (mean/yr),M1,avg_pct_gang,1618.1687924038315,319.84406782301386,3.2495916663722585e-6,316.1785993827156,2.5934564549383525e-6,72,0.26690318394081675,0.2564303722828284
DV crimes (mean/yr),M2,(Intercept),-18280.663672246803,5552.3401652907605,0.0015981038085317706,5350.785979554694,0.00109033216595667,72,0.3986505079041796,0.3530937281999508
DV crimes (mean/yr),M2,avg_pct_gang,1349.69332592824,355.98733000373215,3.2709611470934925e-4,342.7945537828152,2.0103386328655347e-4,72,0.3986505079041796,0.3530937281999508
DV crimes (mean/yr),M2,avg_pct_pov,6330.85850762193,1731.44230616578,5.086432206972901e-4,1665.3186394946304,3.1627315193781655e-4,72,0.3986505079041796,0.3530937281999508
DV crimes (mean/yr),M2,avg_unemp_y,14.473751772427898,805.3969573937565,0.9857162422785417,776.4993067377922,0.985184729395206,72,0.3986505079041796,0.3530937281999508
DV crimes (mean/yr),M2,log_inc,1614.6500123195765,500.1283438957949,0.0019400653565224797,482.16725297255573,0.0013448000924311805,72,0.3986505079041796,0.3530937281999508
DV crimes (mean/yr),M2,avg_bach,-1074.0168457175805,574.2524316020957,0.0658793918146659,555.6738083020431,0.057551000759333344,72,0.3986505079041796,0.3530937281999508
DV crimes (mean/yr),M3,(Intercept),4491.956780315827,2221.782948525468,0.04752030708341496,2059.9705670171484,0.03301705581695101,72,0.964432103015993,0.959269021195734
DV crimes (mean/yr),M3,avg_pct_gang,-237.7933777816161,132.2066045366227,0.07694197203719345,122.14490657249543,0.05609097866489852,72,0.964432103015993,0.959269021195734
DV crimes (mean/yr),M3,avg_pct_pov,-1888.0663040592678,667.3346270532389,0.006278028222010749,618.9280959043155,0.0033589220843027283,72,0.964432103015993,0.959269021195734
DV crimes (mean/yr),M3,avg_unemp_y,-13.703007237563387,416.06942581318225,0.9738326790007465,391.94885402108326,0.9722229866821082,72,0.964432103015993,0.959269021195734
DV crimes (mean/yr),M3,log_inc,-565.0274032530558,225.11887137968313,0.014701083487129648,208.38928230548052,0.008657173802971282,72,0.964432103015993,0.959269021195734
DV crimes (mean/yr),M3,avg_bach,366.3396402797339,301.17738789589225,0.22845897723076672,278.72385295937124,0.193571510380764,72,0.964432103015993,0.959269021195734
DV crimes (mean/yr),M3,avg_pct_black,384.5873736376844,139.00997125514445,0.0074551152027989,129.5492388076927,0.004247635038078914,72,0.964432103015993,0.959269021195734
DV crimes (mean/yr),M3,avg_pct_latino,105.2872681963839,174.75525466005058,0.5490492341766102,161.9831189314967,0.5181004353142307,72,0.964432103015993,0.959269021195734
DV crimes (mean/yr),M3,log_pop,198.8009574919161,43.84210170351417,2.7000138458054577e-5,40.24805584811781,6.241989687607745e-6,72,0.964432103015993,0.959269021195734
DV crimes (mean/yr),M3,avg_homicides,64.60082679482615,3.513073642131505,8.605032844144444e-27,3.2545720611795304,1.4828900615231476e-28,72,0.964432103015993,0.959269021195734
Female shootings (mean/yr),M1,(Intercept),0.12027380256328016,0.6278980811012422,0.8486493483280723,0.6187509683910026,0.8464401232169411,72,0.3018469769670367,0.2918733623522801
Female shootings (mean/yr),M1,avg_pct_gang,14.896523265426044,2.553853232034033,1.5406706764651648e-7,2.5064401593557717,9.862259751350834e-8,72,0.3018469769670367,0.2918733623522801
Female shootings (mean/yr),M2,(Intercept),-186.0531734508647,45.85464947192321,1.336953139977072e-4,43.89604563081601,7.146858980119493e-5,72,0.5158129233699403,0.4791320842312995
Female shootings (mean/yr),M2,avg_pct_gang,11.063795890073214,2.8628526034418575,2.565395767254688e-4,2.729853970620604,1.3579967739179557e-4,72,0.5158129233699403,0.4791320842312995
Female shootings (mean/yr),M2,avg_pct_pov,66.28413914463671,14.323421327309667,1.7808326523552354e-5,13.759426160416659,8.873401600947179e-6,72,0.5158129233699403,0.4791320842312995
Female shootings (mean/yr),M2,avg_unemp_y,0.9281913172774169,6.718625906074909,0.8905409630681885,6.445307436276122,0.885931079726128,72,0.5158129233699403,0.4791320842312995
Female shootings (mean/yr),M2,log_inc,16.26977442407478,4.103476826839573,1.831822081843781e-4,3.9275945678938378,9.98125073211341e-5,72,0.5158129233699403,0.4791320842312995
Female shootings (mean/yr),M2,avg_bach,-11.614909575040292,4.490278339886343,0.011902353594088139,4.292488882683732,0.008661117753315996,72,0.5158129233699403,0.4791320842312995
Female shootings (mean/yr),M3,(Intercept),-23.196662313931267,13.084963875560472,0.08117871202009135,12.09086366991131,0.059651298675012177,72,0.9808591259869688,0.9780806120173352
Female shootings (mean/yr),M3,avg_pct_gang,0.6992032251203567,0.75983650966808,0.3610336923052404,0.7009684481562928,0.3224079342100704,72,0.9808591259869688,0.9780806120173352
Female shootings (mean/yr),M3,avg_pct_pov,7.962398587480565,4.004804434185159,0.05120785335634827,3.6905021796735604,0.034846682148005945,72,0.9808591259869688,0.9780806120173352
Female shootings (mean/yr),M3,avg_unemp_y,-0.32587715005871837,2.3414093368246185,0.8897590931875616,2.188438879221221,0.8821091268920447,72,0.9808591259869688,0.9780806120173352
Female shootings (mean/yr),M3,log_inc,2.073021809261684,1.212084310226765,0.09221153721707283,1.1175445321122432,0.06835532529866147,72,0.9808591259869688,0.9780806120173352
Female shootings (mean/yr),M3,avg_bach,-1.9572668132548356,1.341510876426775,0.1496125865616233,1.2397613601183837,0.11948352374442606,72,0.9808591259869688,0.9780806120173352
Female shootings (mean/yr),M3,avg_pct_black,-0.23236605560120335,1.0219794053833786,0.8208852068102885,0.9472327502432507,0.80702627225327,72,0.9808591259869688,0.9780806120173352
Female shootings (mean/yr),M3,avg_pct_latino,-1.2822526406715853,0.7668054494394448,0.09952450854640892,0.7110887432179641,0.07621251998696954,72,0.9808591259869688,0.9780806120173352
Female shootings (mean/yr),M3,log_pop,0.010866107721312905,0.20183505859859086,0.9572384714958022,0.18816168199891775,0.9541344563370575,72,0.9808591259869688,0.9780806120173352
Female shootings (mean/yr),M3,avg_homicides,0.5960894180149148,0.03000526096466958,1.4165991247033535e-28,0.027844119335701075,2.458903360677764e-30,72,0.9808591259869688,0.9780806120173352
DV / 100k pop,M1,(Intercept),841.747430774786,273.1393987304409,0.0029419323757387435,273.1451698812488,0.002942498077578217,72,0.31092558210016824,0.3010816618444563
DV / 100k pop,M1,avg_pct_gang,5041.504208796618,804.4525920639708,2.6304714446137333e-8,792.7899890143186,1.799727969932892e-8,72,0.31092558210016824,0.3010816618444563
DV / 100k pop,M2,(Intercept),-11578.496749877322,11549.170980383813,0.3197447790505814,11096.148394534102,0.300537751470136,72,0.8454980961994333,0.8337934065175722
DV / 100k pop,M2,avg_pct_gang,1219.1486275325803,688.2521425335527,0.08111590485687692,657.7102588791489,0.06826270533105712,72,0.8454980961994333,0.8337934065175722
DV / 100k pop,M2,avg_pct_pov,11153.848615127616,3045.540061062692,4.989379920944497e-4,2915.2231912560105,2.9163599317249373e-4,72,0.8454980961994333,0.8337934065175722
DV / 100k pop,M2,avg_unemp_y,9017.14849430131,1585.314507903118,3.182737346574511e-7,1524.6012214944944,1.301698923149192e-7,72,0.8454980961994333,0.8337934065175722
DV / 100k pop,M2,log_inc,850.4654344439219,1029.0203357297737,0.4115093898794133,988.6288516400901,0.3927668377795849,72,0.8454980961994333,0.8337934065175722
DV / 100k pop,M2,avg_bach,799.9865310195664,942.9231637147603,0.3992756285968255,907.9683570105898,0.38147556191398835,72,0.8454980961994333,0.8337934065175722
DV / 100k pop,M3,(Intercept),2489.9994702326935,9986.050066600412,0.8039160113819774,9242.718763928184,0.7885155369491788,72,0.9138779067281662,0.9013763125435451
DV / 100k pop,M3,avg_pct_gang,14.937418142949573,726.8933090676481,0.9836708808232167,667.7485634502318,0.9822247907374154,72,0.9138779067281662,0.9013763125435451
DV / 100k pop,M3,avg_pct_pov,6224.216355032259,2980.0745881482844,0.04085538443139026,2752.45786822315,0.02725706416617984,72,0.9138779067281662,0.9013763125435451
DV / 100k pop,M3,avg_unemp_y,1662.494257609435,1680.480435672686,0.326363114139954,1560.8971974668557,0.2909661050775152,72,0.9138779067281662,0.9013763125435451
DV / 100k pop,M3,log_inc,132.4364424331239,862.1617825044358,0.8784163496439952,798.3562619610204,0.8687861161928286,72,0.9138779067281662,0.9013763125435451
DV / 100k pop,M3,avg_bach,-201.42307671814848,1117.8397292910447,0.8575914003541164,1035.13813728435,0.8463535097324466,72,0.9138779067281662,0.9013763125435451
DV / 100k pop,M3,avg_pct_black,1818.9595403552332,979.5757863107378,0.0680795189110066,904.4981097154046,0.048677124328379104,72,0.9138779067281662,0.9013763125435451
DV / 100k pop,M3,avg_pct_latino,-171.80681153584754,923.4563946322726,0.8530148403646813,856.3610369842108,0.8416490503395418,72,0.9138779067281662,0.9013763125435451
DV / 100k pop,M3,log_pop,-411.1321063283487,161.70109540707315,0.013516144708139275,148.73751504982746,0.007505472055644949,72,0.9138779067281662,0.9013763125435451
DV / 100k pop,M3,avg_homicides,56.449224173096844,28.71885613469761,0.05383015011222248,26.67638579602311,0.03836109251404872,72,0.9138779067281662,0.9013763125435451
